"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"date",1,205,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"n",2,205,2237.25365853659,477.623697199223,2209,2214.24242424242,440.3322,953,4462,3509,0.665338068546236,1.56168561168026,33.3586860101413
