"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"date",1,274,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"TWITTER",2,274,18144.9598540146,3946.74271714099,17935,18058.2818181818,2504.8527,3007,37084,34077,0.634707090272534,5.16218176644342,238.431447211485
"SARS",3,274,678.777372262774,300.353268313292,730.5,701.372727272727,338.7741,1,1181,1180,-0.502527351608252,-0.7034583007966,18.1450045191986
"Gripe",4,274,1651.17518248175,1880.21901108308,1179,1260.42272727273,462.5712,91,11627,11536,3.74280149223582,14.4552808513655,113.588184489471
