"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"date",1,293,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Timespan",2,293,17.3914170713196,4.6850376284846,18.6890308839191,17.8698982892428,3.73412330339617,1,24.6650366748166,23.6650366748166,-0.925519213622386,-0.0568611618538202,0.27370282070617
"n",3,293,687.59385665529,299.762763897827,753,711.408510638298,333.585,1,1181,1180,-0.540368964924079,-0.665121361319032,17.5123276540366
