"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"date",1,311,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"n",2,311,17746.0160771704,4455.98237274255,17789,17924.2088353414,2585.6544,1112,37084,35972,-0.132693473040069,3.94592352974389,252.675579056272
