"","date","Timespan","n"
"140",2020-07-31,19.2008412197687,951
"141",2020-08-01,18.4389473684211,950
"142",2020-08-02,19.9189189189189,888
"143",2020-08-03,19.0622317596567,932
"144",2020-08-04,19.3689839572192,935
"145",2020-08-05,19.9891304347826,920
"146",2020-08-06,20.3827292110874,938
"147",2020-08-07,20.029933481153,902
"148",2020-08-08,20.0692307692308,910
"149",2020-08-09,19.6210407239819,884
"150",2020-08-10,20.8122941822173,911
"151",2020-08-11,19.9094247246022,817
"152",2020-08-12,20.2757475083056,903
"153",2020-08-13,20.4487179487179,858
"154",2020-08-14,19.3627797408716,849
"155",2020-08-15,19.9377245508982,835
"156",2020-08-16,19.2840236686391,845
"157",2020-08-17,21.4732360097324,822
"158",2020-08-18,21.3979591836735,784
"159",2020-08-19,21.1808118081181,813
"160",2020-08-20,19.9827357237716,753
"161",2020-08-21,20.6779661016949,767
"162",2020-08-22,21.6892725030826,811
"163",2020-08-23,21.8201634877384,734
"164",2020-08-24,20.6153846153846,793
"165",2020-08-25,20.757909215956,727
"166",2020-08-26,19.8492063492063,756
"167",2020-08-27,21.8299319727891,735
"168",2020-08-28,20.702842377261,774
"169",2020-08-29,21.0960451977401,708
"170",2020-08-30,20.9045092838196,754
"171",2020-08-31,20.9674902470741,769
"172",2020-09-01,21.2625850340136,735
"173",2020-09-02,20.4565826330532,714
"174",2020-09-03,20.8137829912023,682
"175",2020-09-04,20.9776847977685,717
"176",2020-09-05,20.9782608695652,690
"177",2020-09-06,20.7722627737226,685
"178",2020-09-07,21.0057887120116,691
"179",2020-09-08,21.1889534883721,688
"180",2020-09-09,20.7531847133758,628
"181",2020-09-10,21.7256493506494,616
"182",2020-09-11,21.5523672883788,697
"183",2020-09-12,21.8982035928144,668
"184",2020-09-13,21.6724683544304,632
"185",2020-09-14,21.5808,625
"186",2020-09-15,23.3322632423756,623
"187",2020-09-16,22.4706840390879,614
"188",2020-09-17,21.1316666666667,600
"189",2020-09-18,22.0493421052632,608
"190",2020-09-19,21.3825944170772,609
"191",2020-09-20,20.4690909090909,550
"192",2020-09-21,21.9612676056338,568
"193",2020-09-22,21.8713235294118,544
"194",2020-09-23,22.2883895131086,534
"195",2020-09-24,21.8978494623656,558
"196",2020-09-25,22.3597246127367,581
"197",2020-09-26,21.9155963302752,545
"198",2020-09-27,22.1070038910506,514
"199",2020-09-28,22.5729927007299,548
"200",2020-09-29,22.8983606557377,610
"201",2020-09-30,22.1731517509728,514
"202",2020-10-01,22.7407407407407,567
"203",2020-10-02,21.3719298245614,570
"204",2020-10-03,19.5661478599222,514
"205",2020-10-04,22.0457142857143,525
"206",2020-10-05,21.930056710775,529
"207",2020-10-06,20.8848484848485,495
"208",2020-10-07,21.8202479338843,484
"209",2020-10-08,21.4291417165669,501
"210",2020-10-09,21.0622406639004,482
"211",2020-10-10,23.2293762575453,497
"212",2020-10-11,21.2771618625277,451
"213",2020-10-12,21.966265060241,415
"214",2020-10-13,21.3148148148148,432
"215",2020-10-14,23.2758620689655,435
"216",2020-10-15,21.3317865429234,431
"217",2020-10-16,22.7718894009217,434
"218",2020-10-17,21.8763736263736,364
"219",2020-10-18,21.5174129353234,402
"220",2020-10-19,24.6650366748166,409
"221",2020-10-20,23.7010582010582,378
"222",2020-10-21,21.3966346153846,416
"223",2020-10-22,19.9270833333333,384
"224",2020-10-23,22.2415584415584,385
"225",2020-10-24,23.5489614243323,337
"226",2020-10-25,22.7648456057007,421
"227",2020-10-26,23.974025974026,385
"228",2020-10-27,23.9656992084433,379
"229",2020-10-28,22.4623115577889,398
"230",2020-10-29,22.2390745501285,389
"231",2020-10-30,22.7005076142132,394
"232",2020-10-31,22.6963190184049,326
"233",2020-11-01,21.1934604904632,367
"234",2020-11-02,22.6206896551724,348
"235",2020-11-03,23.2365591397849,372
"236",2020-11-04,21.8997361477573,379
"237",2020-11-05,20.2378516624041,391
"238",2020-11-06,23.7446808510638,376
"239",2020-11-07,22.7749360613811,391
"240",2020-11-08,23.0775401069519,374
"241",2020-11-09,21.7760416666667,384
"242",2020-11-10,22.3419689119171,386
"243",2020-11-11,21.3365155131265,419
"244",2020-11-12,21.0098522167488,406
"245",2020-11-13,22.0497630331754,422
"246",2020-11-14,21.4644670050761,394
"247",2020-11-15,20.5974025974026,385
"248",2020-11-16,20.4613686534216,453
"249",2020-11-17,20.2725060827251,411
"250",2020-11-18,20.3427895981087,423
"251",2020-11-19,18.9118942731278,454
"252",2020-11-20,18.6316964285714,448
"253",2020-11-21,20.7394957983193,476
"254",2020-11-22,18.4563492063492,504
"255",2020-11-23,19.1345029239766,513
"256",2020-11-24,20.3882575757576,528
"257",2020-11-25,19.360153256705,522
"258",2020-11-26,17.7777777777778,540
"259",2020-11-27,18.1161971830986,568
"260",2020-11-28,20.2614601018676,589
"261",2020-11-29,18.5606557377049,610
"262",2020-11-30,18.7534039334342,661
"263",2020-12-01,19.1406959152799,661
"264",2020-12-02,17.8312412831241,717
"265",2020-12-03,18.4437869822485,676
"266",2020-12-04,18.2262247838617,694
"267",2020-12-05,18.8879184861718,687
"268",2020-12-06,19.2481536189069,677
"269",2020-12-07,17.6928281461434,739
"270",2020-12-08,17.8862745098039,765
"271",2020-12-09,18.7408854166667,768
"272",2020-12-10,18.0900900900901,777
"273",2020-12-11,16.9950310559006,805
"274",2020-12-12,18.4090338770389,797
"275",2020-12-13,19.0225385527877,843
"276",2020-12-14,18.5987804878049,820
"277",2020-12-15,17.8298122065728,852
"278",2020-12-16,18.3135888501742,861
"279",2020-12-17,17.9883990719258,862
"280",2020-12-18,18.7009345794393,856
"281",2020-12-19,19.5880322209436,869
"282",2020-12-20,19.418202764977,868
"283",2020-12-21,19.520245398773,815
"284",2020-12-22,19.1394230769231,832
"285",2020-12-23,19.3178294573643,903
"286",2020-12-24,19.488188976378,762
"287",2020-12-25,19.2828402366864,845
"288",2020-12-26,20.9094247246022,817
"289",2020-12-27,19.6444174757282,824
"290",2020-12-28,19.3480333730632,839
"291",2020-12-29,19.9565217391304,874
"292",2020-12-30,20.826968973747,838
"293",2020-12-31,20.2896305125149,839
